--------------------------
   M_G       K-factor 
--------------------------
 Coupling C0 bar = 0.01
--------------------------
  250.00        1.334    
  500.00        1.648    
  750.00        1.690    
 1000.00        1.670    
 1250.00        1.653    
 1500.00        1.603    
 1750.00        1.564    
 2000.00        1.536    
 2250.00        1.519    
 2500.00        1.516    
 3000.00        1.526    
--------------------------
 Coupling C0 bar = 0.02
--------------------------
  250.00        1.360    
  500.00        1.656    
  750.00        1.685    
 1000.00        1.669    
 1250.00        1.664    
 1500.00        1.624    
 1750.00        1.606    
 2000.00        1.596    
--------------------------
 Coupling C0 bar = 0.03
--------------------------
  250.00        1.338    
  500.00        1.650    
  750.00        1.687    
 1000.00        1.693    
 1250.00        1.672    
 1500.00        1.645    
 1750.00        1.620    
 2000.00        1.609    
--------------------------
 Coupling C0 bar = 0.05
--------------------------
  250.00        1.367    
  500.00        1.672    
  750.00        1.680    
 1000.00        1.678    
 1250.00        1.668    
 1500.00        1.662    
 1750.00        1.631    
 2000.00        1.621    
 2250.00        1.611    
 2500.00        1.610    
 2750.00        1.615    
 3000.00        1.632    
--------------------------
 Coupling C0 bar = 0.10
--------------------------
  250.00        1.360    
  500.00        1.660    
  750.00        1.684    
 1000.00        1.689    
 1250.00        1.676    
 1500.00        1.652    
 1750.00        1.638    
 2000.00        1.619    
 2250.00        1.612    
 2500.00        1.613    
 2750.00        1.621    
 3000.00        1.634    
 3250.00        1.657    
 3500.00        1.688    
--------------------------
